21	0	0	99.9999
20	0	1	95.238
19	0	2	90.4761
18	0	3	85.7142
17	0	4	80.9523
16	0	5	76.1904
15	0	6	71.4285
14	0	7	66.6666
13	0	8	61.9047
12	0	9	57.1428
11	0	10	52.3809
10	0	11	47.619
9	0	12	42.8571
8	0	13	38.0952
7	0	14	33.3333
6	0	15	28.5714
5	0	16	23.8095
4	0	17	19.0476
3	0	18	14.2857
2	0	19	9.5238
1	0	20	4.7619
0	0	21	0
43	1	0	48.4
42	1	1	48
41	1	2	47.6
40	1	3	47.2
39	1	4	46.8
38	1	5	46.4
37	1	6	46
36	1	7	45.6
35	1	8	45.2
34	1	9	44.8
33	1	10	44.4
32	1	11	44
31	1	12	43.6
30	1	13	43.2
29	1	14	42.8
28	1	15	42.4
27	1	16	42
26	1	17	41.6
25	1	18	41.2
24	1	19	40.8
23	1	20	40.4
22	1	21	40
65	2	0	57.2001
64	2	1	56.8001
63	2	2	56.4001
62	2	3	56.0001
61	2	4	55.6001
60	2	5	55.2001
59	2	6	54.8001
58	2	7	54.4001
57	2	8	54.0001
56	2	9	53.6001
55	2	10	53.2001
54	2	11	52.8
53	2	12	52.4
52	2	13	52
51	2	14	51.6
50	2	15	51.2
49	2	16	50.8
48	2	17	50.4
47	2	18	50
46	2	19	49.6
45	2	20	49.2
44	2	21	48.8
87	3	0	46
86	3	1	45.6
85	3	2	45.2
84	3	3	44.8
83	3	4	44.4
82	3	5	44
81	3	6	43.6
80	3	7	43.2
79	3	8	42.8
78	3	9	42.4
77	3	10	42
76	3	11	41.6
75	3	12	41.2
74	3	13	40.8
73	3	14	40.4
72	3	15	40
71	3	16	59.6001
70	3	17	59.2001
69	3	18	58.8001
68	3	19	58.4001
67	3	20	58.0001
66	3	21	57.6001
109	4	0	54.8001
108	4	1	54.4001
107	4	2	54.0001
106	4	3	53.6001
105	4	4	53.2001
104	4	5	52.8
103	4	6	52.4
102	4	7	52
101	4	8	51.6
100	4	9	51.2
99	4	10	50.8
98	4	11	50.4
97	4	12	50
96	4	13	49.6
95	4	14	49.2
94	4	15	48.8
93	4	16	48.4
92	4	17	48
91	4	18	47.6
90	4	19	47.2
89	4	20	46.8
88	4	21	46.4
131	5	0	43.6
130	5	1	43.2
129	5	2	42.8
128	5	3	42.4
127	5	4	42
126	5	5	41.6
125	5	6	41.2
124	5	7	40.8
123	5	8	40.4
122	5	9	40
121	5	10	59.6001
120	5	11	59.2001
119	5	12	58.8001
118	5	13	58.4001
117	5	14	58.0001
116	5	15	57.6001
115	5	16	57.2001
114	5	17	56.8001
113	5	18	56.4001
112	5	19	56.0001
111	5	20	55.6001
110	5	21	55.2001
153	6	0	52.4
152	6	1	52
151	6	2	51.6
150	6	3	51.2
149	6	4	50.8
148	6	5	50.4
147	6	6	50
146	6	7	49.6
145	6	8	49.2
144	6	9	48.8
143	6	10	48.4
142	6	11	48
141	6	12	47.6
140	6	13	47.2
139	6	14	46.8
138	6	15	46.4
137	6	16	46
136	6	17	45.6
135	6	18	45.2
134	6	19	44.8
133	6	20	44.4
132	6	21	44
175	7	0	41.2
174	7	1	40.8
173	7	2	40.4
172	7	3	40
171	7	4	59.6001
170	7	5	59.2001
169	7	6	58.8001
168	7	7	58.4001
167	7	8	58.0001
166	7	9	57.6001
165	7	10	57.2001
164	7	11	56.8001
163	7	12	56.4001
162	7	13	56.0001
161	7	14	55.6001
160	7	15	55.2001
159	7	16	54.8001
158	7	17	54.4001
157	7	18	54.0001
156	7	19	53.6001
155	7	20	53.2001
154	7	21	52.8
197	8	0	50
196	8	1	49.6
195	8	2	49.2
194	8	3	48.8
